population_size,tournament_size,mutation_rate,lap,value,weight,fitness,convergence_gen,runing_duration
30,22,2,4,3910.0,281.2,1328.8411,1040,0.03063488006591797
30,22,3,0,4066.0,278.3,1394.6719,1448,0.045295000076293945
30,22,3,1,4104.0,275.9,1396.3021,1534,0.048135995864868164
30,22,3,2,3985.0,276.4,1365.5773,1216,0.037970781326293945
30,22,3,3,3943.0,277.2,1375.4476,1200,0.03752899169921875
30,22,3,4,3725.0,280.1,1313.8412,630,0.019644737243652344
30,22,4,0,3904.0,277.5,1360.4419,1578,0.05241703987121582
30,22,4,1,3879.0,281.2,1352.4904,1240,0.04091906547546387
30,22,4,2,4051.0,284.1,1392.8526,2056,0.06829500198364258
30,22,4,3,3499.0,275.3,1282.0355,638,0.020630598068237305
30,22,4,4,3911.0,282.3,1358.7708,718,0.0235748291015625
30,22,5,0,3715.0,276.6,1287.4519,572,0.01947498321533203
30,22,5,1,3808.0,274.7,1341.6267,1080,0.03758573532104492
30,22,5,2,3888.0,277.9,1325.4337,816,0.028303146362304688
30,22,5,3,3875.0,278.6,1344.6193,1310,0.045794010162353516
30,22,5,4,3876.0,281.6,1324.3331,766,0.02621006965637207
30,22,6,0,3901.0,284.4,1311.9519,954,0.03491377830505371
30,22,6,1,3747.0,271.4,1317.4123,1118,0.04099297523498535
30,22,6,2,3785.0,277.1,1350.8504,1400,0.051455020904541016
30,22,6,3,3730.0,250.1,1345.4461,1072,0.03921103477478027
30,22,6,4,3876.0,276.2,1333.6438,866,0.03169608116149902
30,22,7,0,3690.0,283.3,1263.8047,606,0.023195981979370117
30,22,7,1,3628.0,265.6,1309.8935,1042,0.04017782211303711
30,22,7,2,3765.0,282.6,1289.9784,870,0.033219099044799805
30,22,7,3,3641.0,268.0,1277.9328,574,0.021765947341918945
30,22,7,4,3548.0,262.9,1214.0591,378,0.01403498649597168
30,22,8,0,3755.0,281.6,1319.9862,1262,0.05091595649719238
30,22,8,1,3516.0,280.0,1214.9604,378,0.014749288558959961
30,22,8,2,3867.0,282.6,1314.1166,1612,0.06565308570861816
30,22,8,3,3685.0,268.4,1279.1157,672,0.02651810646057129
30,22,8,4,3554.0,266.0,1260.6453,682,0.02733898162841797
30,29,1,0,4166.0,283.0,1409.4812,1896,0.05403304100036621
30,29,1,1,4079.0,282.8,1396.8064,1506,0.04267001152038574
30,29,1,2,4139.0,285.0,1389.919,1268,0.03567790985107422
30,29,1,3,4262.0,280.0,1429.5259,2112,0.06004500389099121
30,29,1,4,4224.0,283.7,1423.906,1732,0.048966169357299805
30,29,2,0,3898.0,280.4,1364.4658,1036,0.03093719482421875
30,29,2,1,4164.0,280.0,1409.245,2466,0.07429075241088867
30,29,2,2,4059.0,278.5,1392.6174,1940,0.05884218215942383
30,29,2,3,4013.0,273.0,1373.2592,1230,0.036830902099609375
30,29,2,4,4098.0,284.9,1403.7045,1642,0.04967212677001953
30,29,3,0,3868.0,271.0,1340.7992,714,0.022294044494628906
30,29,3,1,4119.0,284.8,1378.8648,1106,0.035043954849243164
30,29,3,2,3760.0,280.4,1338.1216,870,0.02729487419128418
30,29,3,3,3981.0,279.7,1386.5118,1280,0.040589094161987305
30,29,3,4,3872.0,282.1,1327.6427,686,0.02130293846130371
30,29,4,0,3609.0,284.5,1277.3151,532,0.01752018928527832
30,29,4,1,4121.0,284.4,1381.4932,1374,0.046414852142333984
30,29,4,2,3699.0,279.0,1294.0419,902,0.030002355575561523
30,29,4,3,3955.0,284.3,1342.6174,972,0.03248095512390137
30,29,4,4,3735.0,283.4,1292.7545,674,0.02216196060180664
30,29,5,0,3532.0,283.2,1283.5077,602,0.020967960357666016
30,29,5,1,4015.0,281.2,1366.5701,1070,0.03784680366516113
30,29,5,2,3854.0,284.2,1317.4615,944,0.033469200134277344
30,29,5,3,3824.0,262.4,1347.1874,1206,0.04311704635620117
30,29,5,4,3890.0,281.1,1310.3295,1056,0.03744816780090332
30,29,6,0,3885.0,281.1,1319.2288,1294,0.048655033111572266
30,29,6,1,3811.0,277.9,1314.8554,1078,0.04043388366699219
30,29,6,2,3949.0,274.5,1381.4113,1810,0.06859803199768066
30,29,6,3,3591.0,279.0,1285.2882,746,0.02734208106994629
30,29,6,4,3784.0,283.6,1322.8926,786,0.029197216033935547
30,29,7,0,3806.0,269.4,1329.2473,1056,0.04153299331665039
30,29,7,1,3710.0,270.0,1303.7192,1102,0.04319310188293457
30,29,7,2,3951.0,282.2,1357.5138,1396,0.05496335029602051
30,29,7,3,3659.0,284.0,1293.1891,796,0.031012773513793945
30,29,7,4,3809.0,283.2,1301.8225,888,0.03501486778259277
30,29,8,0,3677.0,283.8,1266.8523,976,0.039901018142700195
30,29,8,1,3767.0,283.1,1332.4398,998,0.04085803031921387
30,29,8,2,3912.0,282.8,1323.6895,888,0.036866188049316406
30,29,8,3,3833.0,282.1,1327.1162,1644,0.06839776039123535
